province,year,total_institutions,total_beds,total_doctors,total_nurses
广东省,2015,48320,435700,228500,254100
新疆维吾尔自治区,2015,18798,150300,57300,63900
湖南省,2019,57230,506300,190500,240500
福建省,2021,28693,223800,111100,130200
宁夏回族自治区,2014,4255,32500,15000,15100
西藏自治区,2015,6814,14000,6200,3200
西藏自治区,2019,6940,17100,9300,6000
西藏自治区,2020,6939,18600,9500,6800
云南省,2018,24954,291200,99700,136900
重庆市,2019,21057,231800,83300,103100
河北省,2023,92825,534000,289800,269700
福建省,2018,27590,192500,91100,109300
湖南省,2014,61571,355500,133400,136200
黑龙江省,2020,20461,253300,96100,102300
广东省,2023,62819,628600,357900,450200
黑龙江省,2015,20752,212600,82700,81000
四川省,2019,83756,631800,221700,270500
河南省,2023,85044,777400,346600,383900
广东省,2016,49079,465100,243200,283800
宁夏回族自治区,2015,4288,33800,15900,16100
福建省,2017,27217,182400,84000,101200
内蒙古自治区,2018,24610,159000,73600,76400
江苏省,2017,32037,469200,217100,236900
湖北省,2015,36179,343100,136000,165100
陕西省,2019,35404,265800,108700,150400
吉林省,2021,25344,176500,87300,97800
江西省,2016,38272,209100,79200,95500
河北省,2014,78895,322900,157700,121800
重庆市,2017,19682,206400,68500,84900
甘肃省,2021,25759,183200,70600,91700
上海市,2021,6308,160400,84100,103900
重庆市,2018,20524,220100,76400,95100
宁夏回族自治区,2022,4607,41800,22700,28100
天津市,2020,5838,68300,49200,42700
陕西省,2017,35861,241300,93200,127000
河北省,2022,90194,485700,262300,238200
湖北省,2022,36782,450300,176800,217600
河北省,2016,78795,360500,177100,143400
广西壮族自治区,2022,34500,341700,138600,192900
湖南省,2023,57503,533900,219600,270500
内蒙古自治区,2014,23426,129000,62200,56700
云南省,2015,24181,237600,79600,93300
天津市,2017,5539,68400,41100,38200
安徽省,2015,24853,267400,107800,119300
河南省,2022,81694,752200,316300,353900
广西壮族自治区,2015,34439,214500,91600,113200
河南省,2020,74644,667200,276400,304300
西藏自治区,2018,6844,16800,8300,5600
青海省,2019,6513,41400,17400,18900
辽宁省,2021,33051,324500,132000,152700
广西壮族自治区,2014,34667,201600,86500,104000
青海省,2021,6408,42200,18800,21300
福建省,2016,27656,174800,79700,95600
山西省,2015,41002,183200,90200,83300
贵州省,2020,28880,276400,97500,131500
江西省,2023,40129,340700,134800,169400
西藏自治区,2022,6906,20000,11100,8100
黑龙江省,2018,20349,250100,89500,93100
吉林省,2014,19891,141000,63200,57400
天津市,2022,6282,68500,52600,48300
辽宁省,2015,35236,267000,104600,111000
上海市,2023,6514,175000,89100,111000
海南省,2023,6538,60900,31500,41200
吉林省,2017,20828,153700,70600,67100
湖北省,2021,36529,434000,169500,214600
海南省,2021,6277,61400,29700,38400
四川省,2022,74041,683900,258200,318300
海南省,2015,5046,38700,19000,24700
陕西省,2016,36598,225400,85700,116800
江西省,2020,36716,285800,104900,129300
重庆市,2023,23389,255600,102300,128100
内蒙古自治区,2021,24948,166600,84200,88900
浙江省,2020,34400,361300,217700,233100
云南省,2016,24234,253600,85900,106000
甘肃省,2015,27799,127700,49600,47800
山西省,2017,42490,197500,94300,96800
内蒙古自治区,2020,24549,162100,80600,83400
安徽省,2019,26435,347400,138400,163400
四川省,2016,79513,519200,185400,207600
宁夏回族自治区,2021,4571,41200,22500,27300
四川省,2017,80481,563500,194900,228500
新疆维吾尔自治区,2016,18825,156900,60300,67600
河北省,2017,80912,395000,191900,158400
海南省,2019,5417,49800,23900,32100
海南省,2020,6127,58500,27200,35200
吉林省,2019,22198,170300,79000,79300
辽宁省,2020,34131,314500,126200,142700
山西省,2021,41007,228900,113400,124300
福建省,2020,28105,216800,105500,122500
贵州省,2015,28712,196400,63400,76000
陕西省,2023,35133,306200,133300,169600
