content_id,content_type,title,category,publish_date,source,source_url,status
cdc_k_295145,knowledge,世界防治肥胖日| 健康生活方式科普视频,慢性非传染性疾病,2024-05-11,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mxfcrb/fpdx/202408/t20240823_295145.html,published
cdc_k_295549,knowledge,预防麻疹早知道！,免疫规划,2024-04-19,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ymyf/202408/t20240824_295549.html,published
cdc_k_295550,knowledge,关于麻疹，这些知识您要掌握,免疫规划,2024-04-18,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ymyf/202408/t20240824_295550.html,published
cdc_k_295551,knowledge,【科普作品展播】科学预防 远离风疹,免疫规划,2018-02-06,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ymyf/202408/t20240824_295551.html,published
cdc_k_295552,knowledge,疫苗一生一起走,免疫规划,2024-06-18,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ymyf/202408/t20240824_295552.html,published
cdc_k_295554,knowledge,冬季流感高发，流感疫苗您接种了吗？,免疫规划,2023-12-04,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ymyf/202408/t20240824_295554.html,published
cdc_k_295555,knowledge,被汪（喵）星人抓咬一定要打狂犬疫苗吗？,免疫规划,2024-01-12,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ymyf/202408/t20240824_295555.html,published
cdc_k_295556,knowledge,中国疾病预防控制中心发布《中国流感疫苗预防接种技术指南（2023-2024）》,免疫规划,2023-09-05,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/myfw/202408/t20240824_295556.html,published
cdc_k_295557,knowledge,2024年8月健康防护提示,公共卫生事件,2024-08-10,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/ydjk/202408/t20240825_295557.html,published
cdc_k_295558,knowledge,2024年7月健康防护提示,公共卫生事件,2024-07-11,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/ydjk/202408/t20240825_295558.html,published
cdc_k_295559,knowledge,2024年初夏健康防护提示,公共卫生事件,2024-07-01,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/ydjk/202408/t20240825_295559.html,published
cdc_k_295560,knowledge,2024年五一假期健康提示,公共卫生事件,2024-04-30,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/ydjk/202408/t20240825_295560.html,published
cdc_k_295561,knowledge,2024年春节健康提示,公共卫生事件,2024-02-09,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/ydjk/202408/t20240825_295561.html,published
cdc_k_295562,knowledge,2023年中秋国庆假期健康提示,公共卫生事件,2023-09-28,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/ydjk/202408/t20240825_295562.html,published
cdc_k_295563,knowledge,预防鼠疫，你需要知道的这些事,公共卫生事件,2023-09-27,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/syyr/202408/t20240825_295563.html,published
cdc_k_295564,knowledge,一图读懂 | 鼠疫可防可治！,公共卫生事件,2019-11-15,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/syyr/202408/t20240825_295564.html,published
cdc_k_295565,knowledge,漫画版科学防控人感染H7N9禽流感！,公共卫生事件,2017-01-20,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/syyr/202408/t20240825_295565.html,published
cdc_k_295566,knowledge,洪涝灾区应如何做好预防性消毒,公共卫生事件,2024-06-28,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/zrzh/202408/t20240825_295566.html,published
cdc_k_295567,knowledge,洪涝灾害后，个人健康教育与防护要点,公共卫生事件,2023-08-16,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/zrzh/202408/t20240825_295567.html,published
cdc_k_295568,knowledge,汛期来临，警惕病从口入,公共卫生事件,2024-07-02,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/zrzh/202408/t20240825_295568.html,published
cdc_k_295569,knowledge,暴雨天气，如何做好个人健康防护？,公共卫生事件,2024-08-02,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/zrzh/202408/t20240825_295569.html,published
cdc_k_295570,knowledge,地震灾区应如何做好预防性消毒,公共卫生事件,2024-01-23,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/zrzh/202408/t20240825_295570.html,published
