record_quarter,region,avg_temperature,min_temperature,max_temperature,avg_humidity,total_precipitation,avg_wind_speed,record_days
2025-Q2,上海市,21.833333333333332,18.7,25.1,70.5,477.29999999999995,2.646666666666667,3
2025-Q2,丽江市,15.0,13.3,16.8,69.66666666666667,532.2,2.03,3
2025-Q2,乌鲁木齐市,20.366666666666664,14.7,26.2,37.76666666666666,94.29999999999998,2.903333333333333,3
2025-Q2,兰州市,17.666666666666668,13.1,21.6,39.43333333333333,103.6,1.6133333333333333,3
2025-Q2,北京市,22.099999999999998,17.4,27.9,41.4,146.20000000000002,2.4566666666666666,3
2025-Q2,南京市,22.700000000000003,20.1,25.2,64.46666666666667,412.20000000000005,2.8433333333333337,3
2025-Q2,南宁市,25.733333333333334,23.9,27.8,79.7,705.5,2.72,3
2025-Q2,南昌市,23.933333333333334,20.8,27.0,76.63333333333333,632.5,2.0500000000000003,3
2025-Q2,厦门市,24.733333333333334,21.0,28.1,77.89999999999999,367.1,2.5366666666666666,3
2025-Q2,合肥市,23.2,20.8,25.4,66.16666666666667,431.7,2.823333333333333,3
2025-Q2,吐鲁番市,29.0,21.9,35.4,18.2,3.1999999999999997,2.1333333333333333,3
2025-Q2,呼伦贝尔市,10.666666666666666,3.4,17.6,54.93333333333334,107.2,3.526666666666667,3
2025-Q2,呼和浩特市,15.233333333333334,9.6,21.2,44.46666666666667,158.3,2.1966666666666668,3
2025-Q2,哈尔滨市,15.066666666666668,8.8,21.2,63.13333333333333,238.4,3.03,3
2025-Q2,喀什市,22.599999999999998,16.7,27.2,27.333333333333332,53.2,2.5233333333333334,3
2025-Q2,大连市,16.233333333333334,11.2,22.0,66.89999999999999,206.70000000000002,3.5400000000000005,3
2025-Q2,天津市,21.933333333333334,17.1,27.2,44.63333333333333,101.3,2.5666666666666664,3
2025-Q2,太原市,19.900000000000002,15.4,24.8,36.300000000000004,100.6,2.4533333333333336,3
2025-Q2,宁波市,22.566666666666666,19.5,26.0,73.46666666666667,650.8,2.5833333333333335,3
2025-Q2,宜昌市,24.03333333333333,21.9,26.3,69.76666666666667,461.1,1.3233333333333333,3
2025-Q2,广州市,25.366666666666664,23.3,27.5,80.56666666666666,956.0,2.2900000000000005,3
2025-Q2,康定市,10.633333333333333,6.6,14.0,81.43333333333334,598.9,0.96,3
2025-Q2,成都市,23.900000000000002,20.1,27.2,61.13333333333333,269.1,1.7,3
2025-Q2,拉萨市,12.433333333333332,9.5,16.2,45.43333333333334,203.7,1.5233333333333334,3
2025-Q2,攀枝花市,23.96666666666667,23.2,24.5,59.666666666666664,686.2,1.1466666666666667,3
2025-Q2,昆明市,18.733333333333334,18.5,19.1,67.96666666666667,610.7,2.37,3
2025-Q2,景洪市,25.333333333333332,24.5,25.9,81.39999999999999,774.3,1.0933333333333335,3
2025-Q2,杭州市,23.26666666666667,20.6,25.9,67.33333333333333,615.7,2.18,3
2025-Q2,桂林市,23.866666666666664,21.5,26.6,78.13333333333334,1359.4,2.046666666666667,3
2025-Q2,武汉市,23.933333333333337,21.8,25.9,69.03333333333333,695.1,2.2866666666666666,3
2025-Q2,沈阳市,17.833333333333332,11.4,24.2,54.5,270.6,2.9233333333333333,3
2025-Q2,济南市,23.03333333333333,18.6,27.9,42.63333333333333,146.2,3.64,3
2025-Q2,海口市,27.3,25.6,28.6,79.46666666666667,664.7,3.64,3
2025-Q2,深圳市,25.200000000000003,22.6,27.2,81.53333333333333,648.3,2.67,3
2025-Q2,漠河市,9.366666666666665,2.3,16.4,60.300000000000004,155.0,2.466666666666667,3
2025-Q2,石家庄市,23.333333333333332,19.3,28.3,40.166666666666664,184.3,2.3466666666666667,3
2025-Q2,福州市,24.566666666666663,20.4,28.9,76.43333333333332,449.0,1.4666666666666668,3
2025-Q2,秦皇岛市,17.46666666666667,12.0,23.3,58.866666666666674,169.10000000000002,2.963333333333333,3
2025-Q2,西宁市,12.966666666666667,8.7,16.1,46.63333333333333,111.5,1.956666666666667,3
2025-Q2,西安市,24.333333333333332,21.0,27.6,40.73333333333334,105.2,2.4166666666666665,3
